Fecha,Precio
2021-09-02 00:01:40.849,48823.05520964915
2021-09-02 01:02:16.602,48741.83902553971
2021-09-02 02:01:23.440,49734.07028640873
2021-09-02 03:01:45.766,49638.75535400071
2021-09-02 04:01:42.625,49573.81996288106
2021-09-02 05:02:41.112,49392.44355619526
2021-09-02 06:01:14.776,49500.704536298465
2021-09-02 07:04:21.567,49847.105474659715
2021-09-02 08:01:30.595,49759.20592039054
2021-09-02 09:01:40.330,50056.55316428315
2021-09-02 10:01:34.677,49777.9915077671
2021-09-02 11:02:19.214,50050.14067348289
2021-09-02 12:02:12.328,50091.80984523372
2021-09-02 13:01:02.198,49869.93975760409
2021-09-02 14:00:47.823,50113.21313199606
2021-09-02 15:02:41.878,49560.04896320188
2021-09-02 16:01:08.381,49630.24546113396
2021-09-02 17:02:15.188,49577.117846046036
2021-09-02 18:01:22.558,49422.56533845844
2021-09-02 19:01:46.562,49398.067490675196
2021-09-02 20:02:21.026,49333.99669168021
2021-09-02 21:01:36.769,49549.39464852681
2021-09-02 22:01:54.986,49809.30101889335
2021-09-02 23:01:29.195,49721.34739559148
2021-09-03 00:01:28.584,49341.3234346063
2021-09-03 01:00:23.625,48480.02398360349
2021-09-03 02:00:50.152,48667.239359176456
2021-09-03 03:02:02.369,48980.09021335266
2021-09-03 04:01:34.541,49546.54099817484
2021-09-03 05:01:18.164,49722.24019699185
2021-09-03 06:01:28.719,49499.233357831996
2021-09-03 07:01:25.703,49392.55243369997
2021-09-03 08:01:06.225,49262.95076509604
2021-09-03 09:01:18.094,50038.30486253003
2021-09-03 10:00:37.223,50057.280529299285
2021-09-03 11:03:04.957,49841.56105256732
2021-09-03 12:06:15.699,50213.84058227893
2021-09-03 13:09:42.849,50733.16804876016
2021-09-03 14:04:40.171,50708.44446490325
2021-09-03 15:04:38.194,50566.89137435588
2021-09-03 16:07:32.363,50504.31077169408
2021-09-03 17:01:10.998,50529.314134251465
2021-09-03 18:02:29.798,50419.52021403357
2021-09-03 19:04:00.464,50449.630922588956
2021-09-03 20:01:50.809,50471.492650484885
2021-09-03 21:00:58.568,50163.39988891411
2021-09-03 22:04:25.800,50203.33102764639
2021-09-03 23:03:06.657,49706.19311130693
2021-09-04 00:03:53.564,50027.64294362923
2021-09-04 01:03:26.016,49944.32878759779
2021-09-04 02:03:39.324,49767.94583297736
2021-09-04 03:03:09.196,50054.793066175
2021-09-04 04:02:47.259,50284.975586563705
2021-09-04 05:03:02.317,50374.223634876835
2021-09-04 06:04:17.009,50277.2731882897
2021-09-04 07:06:35.422,50318.71535550482
2021-09-04 08:02:43.710,50231.26659985
2021-09-04 09:03:14.351,50156.12530500355
2021-09-04 10:03:23.587,50430.28582469337
2021-09-04 11:02:38.625,49957.32417506437
2021-09-04 12:06:26.440,49958.691351595626
2021-09-04 13:07:46.341,50246.89166275338
2021-09-04 14:07:26.127,50157.21837164225
2021-09-04 15:03:20.614,50025.343668412366
2021-09-04 16:03:35.176,49849.1369318823
2021-09-04 17:01:46.213,49827.261993877306
2021-09-04 18:01:31.675,49826.80217397972
2021-09-04 19:03:43.149,49908.234496010016
2021-09-04 20:04:00.402,49981.52734711505
2021-09-04 21:07:47.677,50208.96265417008
2021-09-04 22:03:16.378,50223.51823381433
2021-09-04 23:04:31.629,49899.35146962544
2021-09-05 00:04:17.415,49965.17323293518
2021-09-05 01:02:55.786,50172.57182127705
2021-09-05 02:03:08.388,50094.77691307097
2021-09-05 03:01:29.700,50141.80398717948
2021-09-05 04:03:37.913,49614.64092594741
2021-09-05 05:00:30.252,49822.64943160926
2021-09-05 06:04:15.137,49687.87474689503
2021-09-05 07:02:24.470,49850.739442119855
2021-09-05 08:03:01.114,49843.792988371846
2021-09-05 09:00:40.209,50138.7326445384
2021-09-05 10:03:28.607,50147.6869612067
2021-09-05 11:00:56.702,50005.63303382492
2021-09-05 12:04:57.176,50168.37745512173
2021-09-05 13:00:36.044,50005.57742995691
2021-09-05 14:02:46.540,50228.784285930946
2021-09-05 15:03:09.421,50229.86922786075
2021-09-05 16:04:05.655,50220.449291012395
2021-09-05 17:04:38.475,50368.06738642218
2021-09-05 18:04:48.759,50262.907288308365
2021-09-05 19:04:43.584,50387.563174882955
2021-09-05 20:03:00.562,50643.70639430003
2021-09-05 21:05:11.214,51595.24671794173
2021-09-05 22:03:20.960,51614.0132176541
2021-09-05 23:01:16.737,51779.71490034624
2021-09-06 00:03:37.344,51677.24525478698
2021-09-06 01:03:38.525,51696.814720408256
2021-09-06 02:04:03.199,51754.03157979777
2021-09-06 03:01:34.013,51640.235934070326
2021-09-06 04:03:35.165,51541.35983147323
2021-09-06 05:03:25.938,51630.29297388953
2021-09-06 06:01:35.959,51728.211062053306
2021-09-06 07:01:18.861,51836.062801294276
2021-09-06 08:02:06.861,51710.60692601595
2021-09-06 09:02:22.717,51653.910514142015
2021-09-06 10:01:58.312,51810.72551374009
2021-09-06 11:06:58.999,51770.08170065768
2021-09-06 12:00:58.225,51384.96203197713
2021-09-06 13:03:42.420,51328.32673932085
2021-09-06 14:04:04.643,51442.37031568105
2021-09-06 15:01:01.010,51657.906402620174
2021-09-06 16:02:37.913,51612.9756458524
2021-09-06 17:02:25.361,51552.050441694664
2021-09-06 18:03:25.912,51668.847489239415
2021-09-06 19:03:41.039,51738.471035262715
2021-09-06 20:02:25.338,51729.809044278365
2021-09-06 21:03:48.798,51918.393041956
2021-09-06 22:04:20.252,52071.975214426
2021-09-06 23:04:43.331,52503.99005824781
2021-09-07 00:00:32.612,52739.800166345514
